phrase,count,domain,ef_candidates,ss_top1,pr_top1
ifcbeam | vig_est_ace_w14x30,53,structure,ef_20_10,ss_20_20_75,pr_beam
ifcbeam | vig_est_ace_w410x85,2,structure,ef_20_10,ss_20_20_75,pr_beam
ifcbeam | plate,28,structure,ef_20_10,ss_20_20_75,pr_connection
ifcbeam | trb_est_hoa_80x30cm,2,structure,ef_20_10,ss_20_20_75,pr_beam
ifcbeam | trb_est_hoa_30x30cm,182,structure,ef_20_10,ss_20_20_75,pr_beam
ifcbeam | seat,1,structure,ef_20_10,ss_20_20_75,pr_connection
ifcbeam | trb_est_hoa_50x30cm,5,structure,ef_20_10,ss_20_20_75,pr_beam
"ifcbeam | vig_est_ace_w250x38,5",2,structure,ef_20_10,ss_20_20_75,pr_beam
ifccolumn | col_est_hoa_30x30cm,55,structure,ef_20_10,ss_20_30_75,pr_column
ifccolumn | col_est_hoa_d30cm,100,structure,ef_20_10,ss_20_30_75,pr_column
ifccolumn | col_est_ace_w410x60,16,structure,ef_20_10,ss_20_30_75,pr_column
ifccolumn | plate,7,structure,ef_20_10,ss_20_30_75,pr_connection
ifcfooting | strip footing,3,structure,ef_20_05,ss_20_05_15,pr_foundation
ifcfooting | cim_est_hoa_c2,2,structure,ef_20_05,ss_20_05_15,pr_foundation
ifcfooting | cim_est_hoa_c1,5,structure,ef_20_05,ss_20_05_15,pr_foundation
ifcslab | slab,2,structure,ef_30_20,ss_20_50_25_80,pr_slab
ifcslab | pis_est_hoa_25cm,2,structure,ef_30_20,ss_20_50_25_80,pr_slab
ifcslab | pis_est_hoa_20cm,9,structure,ef_30_20,ss_20_50_25_80,pr_slab
ifcwall | muh_est_hoa_30cm,84,structure,ef_25_10,ss_25_10,pr_wall
ifcwall | muh_est_hoa_40cm,1,structure,ef_25_10,ss_25_10,pr_wall
ifcwall | wall,11,structure,ef_25_10,ss_25_10,pr_wall
ifcwall,2,structure,ef_25_10,ss_25_10,pr_wall
ifcreinforcingbar | tie,391,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | vrt,1060,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | rebar,801,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | trim u-bar,172,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | trim edge,106,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | cnr diag,126,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | long tul,5,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | long tll,5,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | transv bul,5,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | transv bll,5,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | edge trim,16,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | stirr,211,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | longit bott,217,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingbar | longit top,215,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
ifcreinforcingmesh | mesh,459,structure,ef_20_10,ss_32_46_50_05,pr_reinforcement
